augmentation_mode,lr0,batch,patience,optimizer,map50_95_mean,map50_95_std,map50_95_count,map50_mean,map50_std,map50_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,map50_95_se,map50_se,precision_se,recall_se
sss_paper_aug,0.001,16,40,SGD,0.23886599999999997,0.04174800031139215,5,0.47408,0.06993245062201094,5,0.590942,0.07412843327630768,5,0.45512800000000003,0.03192212195327874,5,0.018670273324191047,0.03127474268479278,0.033151243174276285,0.014276006934713925
sss_paper_aug,0.005,16,40,SGD,0.315426,0.02815786977027915,5,0.582624,0.05000073529459341,5,0.7127640000000001,0.0704407132275078,5,0.5502779999999999,0.06880534514120254,5,0.012592582181586114,0.022361008608736768,0.031502044632055214,0.03077068579021275
sss_paper_aug,0.01,16,40,SGD,0.290816,0.07030081599810917,5,0.562522,0.09544688847730975,5,0.712718,0.14865938843544327,5,0.55156,0.06517799590352562,5,0.03143948068909536,0.0426851461752212,0.06648249960703945,0.02914848589549722
yolo26n_default,0.001,16,40,SGD,0.22287200000000001,0.05150072300463363,5,0.455242,0.07165751440009624,5,0.550476,0.08069745150870632,5,0.422984,0.053679605345047024,5,0.023031823505749602,0.03204621465945705,0.036088997436892055,0.02400624931137724
yolo26n_default,0.005,16,40,SGD,0.309788,0.04877879529057682,5,0.597488,0.065590994198899,5,0.721266,0.07226369890892662,5,0.5330280000000001,0.07116269507262918,5,0.021814540426055275,0.0293331843481065,0.032317308613187455,0.031824924728897634
yolo26n_default,0.01,16,40,SGD,0.293636,0.04806814620931412,5,0.5625020000000001,0.04841934396498983,5,0.68114,0.051199802245711856,5,0.536072,0.047563993945000035,5,0.021496728495285042,0.02165378890633229,0.02289724765119162,0.021271264748481695
yolo26n_default_stronger_sss,0.001,16,40,SGD,0.219014,0.0323345377267095,5,0.455976,0.05520027336888833,5,0.605984,0.05406780215618165,5,0.41128599999999993,0.09478874949064367,5,0.014460444875590792,0.024686312725881124,0.02417985620304637,0.04239081747265556
yolo26n_default_stronger_sss,0.005,16,40,SGD,0.284908,0.04050270818105872,5,0.567258,0.04220141253560124,5,0.667502,0.0643907801630016,5,0.516614,0.057761570529202215,5,0.018113361753136832,0.018873045435223227,0.028796432313743316,0.025831759638088928
yolo26n_default_stronger_sss,0.01,16,40,SGD,0.283772,0.04349793926153283,5,0.55802,0.0550678004826777,5,0.674634,0.030277547456820243,5,0.503822,0.07023058144426828,5,0.01945286981398888,0.024627069050132615,0.013540530861085188,0.031408070841743845
