augmentation_mode,lr0,batch,patience,optimizer,map50_95_mean,map50_95_std,map50_95_count,map50_mean,map50_std,map50_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,map50_95_se,map50_se,precision_se,recall_se
sss_paper_aug,0.005,16,40,SGD,0.315426,0.0281578697702791,5,0.582624,0.0500007352945934,5,0.7127640000000001,0.0704407132275078,5,0.5502779999999999,0.0688053451412025,5,0.0125925821815861,0.0223610086087367,0.0315020446320552,0.0307706857902127
yolo26n_default,0.005,16,40,SGD,0.309788,0.0487787952905768,5,0.597488,0.065590994198899,5,0.721266,0.0722636989089266,5,0.5330280000000001,0.0711626950726291,5,0.0218145404260552,0.0293331843481065,0.0323173086131874,0.0318249247288976
yolo26n_default,0.01,16,40,SGD,0.293636,0.0480681462093141,5,0.5625020000000001,0.0484193439649898,5,0.68114,0.0511998022457118,5,0.536072,0.047563993945,5,0.021496728495285,0.0216537889063322,0.0228972476511916,0.0212712647484816
sss_paper_aug,0.01,16,40,SGD,0.290816,0.0703008159981091,5,0.562522,0.0954468884773097,5,0.712718,0.1486593884354432,5,0.55156,0.0651779959035256,5,0.0314394806890953,0.0426851461752212,0.0664824996070394,0.0291484858954972
yolo26n_default_stronger_sss,0.005,16,40,SGD,0.284908,0.0405027081810587,5,0.567258,0.0422014125356012,5,0.667502,0.0643907801630016,5,0.516614,0.0577615705292022,5,0.0181133617531368,0.0188730454352232,0.0287964323137433,0.0258317596380889
yolo26n_default_stronger_sss,0.01,16,40,SGD,0.283772,0.0434979392615328,5,0.55802,0.0550678004826777,5,0.674634,0.0302775474568202,5,0.503822,0.0702305814442682,5,0.0194528698139888,0.0246270690501326,0.0135405308610851,0.0314080708417438
sss_paper_aug,0.001,16,40,SGD,0.2388659999999999,0.0417480003113921,5,0.47408,0.0699324506220109,5,0.590942,0.0741284332763076,5,0.455128,0.0319221219532787,5,0.018670273324191,0.0312747426847927,0.0331512431742762,0.0142760069347139
yolo26n_default,0.001,16,40,SGD,0.222872,0.0515007230046336,5,0.455242,0.0716575144000962,5,0.550476,0.0806974515087063,5,0.422984,0.053679605345047,5,0.0230318235057496,0.032046214659457,0.036088997436892,0.0240062493113772
yolo26n_default_stronger_sss,0.001,16,40,SGD,0.219014,0.0323345377267095,5,0.455976,0.0552002733688883,5,0.605984,0.0540678021561816,5,0.4112859999999999,0.0947887494906436,5,0.0144604448755907,0.0246863127258811,0.0241798562030463,0.0423908174726555
