epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,794.197,1.88716,1.9504,0.00432,0.44763,0.32661,0.35787,0.15676,1.56127,1.63549,0.0044,0.0045941,0.0045941,0.0045941
43,812.1,1.91688,1.88656,0.00419,0.43271,0.39539,0.36467,0.15793,1.63174,1.46289,0.00497,0.0045842,0.0045842,0.0045842
44,831.277,1.87766,1.83783,0.00449,0.44574,0.38465,0.37538,0.16173,1.68029,1.51433,0.00477,0.0045743,0.0045743,0.0045743
45,850.119,1.93781,1.73825,0.00447,0.41445,0.39699,0.3708,0.16412,1.71288,1.72898,0.0052,0.0045644,0.0045644,0.0045644
46,868.167,1.97311,1.82209,0.00456,0.53728,0.34871,0.3993,0.17509,1.71527,1.54161,0.00504,0.0045545,0.0045545,0.0045545
47,886.199,1.8866,1.73395,0.00459,0.57634,0.39946,0.42393,0.19424,1.64649,1.40139,0.00471,0.0045446,0.0045446,0.0045446
48,904.313,1.90644,1.81209,0.00433,0.57454,0.34799,0.4064,0.18027,1.75235,1.60758,0.00524,0.0045347,0.0045347,0.0045347
49,923.476,1.92322,1.89404,0.00441,0.71668,0.35995,0.42189,0.20929,1.54375,1.45724,0.00449,0.0045248,0.0045248,0.0045248
50,942.42,1.91817,1.79583,0.00425,0.51623,0.41218,0.42912,0.19364,1.6961,1.49494,0.00499,0.0045149,0.0045149,0.0045149
51,960.179,1.84341,1.59729,0.00416,0.5414,0.39121,0.40131,0.17281,1.57737,1.57946,0.00456,0.004505,0.004505,0.004505
52,977.988,1.90041,1.74443,0.00415,0.43818,0.45753,0.42231,0.19082,1.64327,1.63436,0.00459,0.0044951,0.0044951,0.0044951
53,995.848,1.82053,1.69437,0.00401,0.50977,0.43441,0.43855,0.18245,1.64173,1.34487,0.00469,0.0044852,0.0044852,0.0044852
54,1014.18,1.79748,1.5757,0.00408,0.6628,0.3941,0.44607,0.19182,1.65646,1.68759,0.00486,0.0044753,0.0044753,0.0044753
55,1033.26,1.85843,1.64913,0.00414,0.54288,0.4775,0.47531,0.20802,1.6844,1.45849,0.00483,0.0044654,0.0044654,0.0044654
